Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
8,45,45,744,-2453.333333333333,-2.7627627627627622,0.0,735,[0.90319293 0.00730299 0.06097147 0.00628397 0.02224864]
5,25,25,745,-1342.25,-2.3756637168141594,0.0,412,[0.88329298 0.01162228 0.08716707 0.00581114 0.01210654]
7,25,25,746,-1034.3333333333453,-1.8242210464432898,0.0,427,[0.90020027 0.01001335 0.06041389 0.0076769  0.02169559]
7,45,45,747,-3180.666666666692,-3.5858699736941286,0.0,733,[0.91514208 0.00603348 0.05624757 0.00739587 0.015181  ]
6,45,45,748,-2989.0000000000196,-3.373589164785575,0.0,731,[0.93579235 0.00523679 0.053051   0.00591985 0.        ]
6,25,25,749,-1837.3333333333226,-3.2461719670200044,0.0,423,[0.95125786 0.00628931 0.03773585 0.00471698 0.        ]
6,40,40,750,-3043.3333333333526,-3.7758478081058966,0.0,663,[0.91014056 0.0062751  0.062751   0.00577309 0.01506024]
10,40,40,751,-4180.00000000014,-5.160493827160667,0.0,659,[0.91090909 0.00727273 0.06257576 0.00818182 0.01106061]
9,45,45,752,-2385.4999999999895,-2.6833520809898643,0.0,733,[0.90508629 0.00847714 0.07523464 0.00893127 0.00227066]
10,25,25,753,-2099.9999999999677,-3.684210526315733,0.0,419,[0.88857143 0.0097619  0.06214286 0.00761905 0.03190476]
7,30,30,754,-1950.499999999972,-3.014683153013867,0.0,497,[0.91967871 0.0060241  0.06167527 0.00545037 0.00717154]
9,30,30,755,-2905.0000000000114,-4.476117103235765,0.0,497,[0.81637662 0.00981705 0.07875948 0.01026328 0.08478358]
6,25,25,756,-1421.3333333333248,-2.5111896348645315,0.0,415,[0.91907051 0.01161859 0.0536859  0.00961538 0.00600962]
10,35,35,757,-3238.3333333333544,-4.436073059360759,0.0,579,[0.82413793 0.00931034 0.0862069  0.00931034 0.07103448]
5,35,35,758,-1432.5,-1.9758620689655173,0.0,572,[0.91308901 0.00802792 0.06841187 0.0104712  0.        ]
7,25,25,759,-1497.8333333333105,-2.6416813639035457,0.0,417,[0.85611757 0.00478469 0.07723855 0.00922761 0.05263158]
5,25,25,760,-1170.1666666666683,-2.0710914454277316,0.0,412,[0.85230024 0.00484262 0.09636804 0.01162228 0.03486683]
6,35,35,761,-1429.9999999999818,-1.9696969696969446,0.0,571,[0.88811189 0.00670163 0.06963869 0.00786713 0.02768065]
7,40,40,762,-2541.916666666673,-3.1498347790169428,0.0,648,[0.9300022  0.00506273 0.05877174 0.00616333 0.        ]
8,40,40,763,-2064.666666666629,-2.555280528052759,0.0,651,[0.91909509 0.00575153 0.05636503 0.0065184  0.01226994]
10,35,35,764,-3238.3333333333544,-4.436073059360759,0.0,579,[0.90810345 0.00586207 0.07137931 0.00689655 0.00775862]
7,30,30,765,-1701.499999999979,-2.629829984544017,0.0,497,[0.90562249 0.00831899 0.0464716  0.00688468 0.03270224]
10,25,25,766,-1881.4999999999777,-3.300877192982417,0.0,425,[0.87394366 0.00962441 0.07370892 0.00751174 0.03521127]
5,25,25,767,-1066.9166666666713,-1.8883480825958785,0.0,412,[0.8653753  0.00774818 0.06343826 0.00774818 0.05569007]
6,25,25,768,-1908.0,-3.371024734982332,0.0,423,[0.93278302 0.01100629 0.04127358 0.0086478  0.00628931]
